9: nome_desti, 4: nome_orige
9: S?o Jo?o dos Patos, 4: Sucupira do Riach?o
9: Viana, 4: Cajari
9: Viana, 4: Olinda Nova do Maranh?o
9: Z? Doca, 4: Araguan?
9: Z? Doca, 4: Governador Newton Bello
9: Z? Doca, 4: Presidente M?dici
9: Reden??o, 4: Xinguara
9: ?gua Branca, 4: Santo Ant?nio dos Milagres
9: Alto Long?, 4: Novo Santo Ant?nio
9: Amarante, 4: S?o Francisco do Maranh?o
9: Barras, 4: Boa Hora
9: Barras, 4: Campo Largo do Piau?
9: Barras, 4: Nossa Senhora dos Rem?dios
9: Barras, 4: Porto
9: Bom Jesus, 4: Alvorada do Gurgu?ia
9: Bom Jesus, 4: Col?nia do Gurgu?ia
9: Bom Jesus, 4: Cristino Castro
9: Tucum?, 4: Ouril?ndia do Norte
9: Bom Jesus, 4: Curimat?
9: Bom Jesus, 4: Currais
9: Bom Jesus, 4: Monte Alegre do Piau?
9: Bom Jesus, 4: Palmeira do Piau?
9: Bom Jesus, 4: Reden??o do Gurgu?ia
9: Bom Jesus, 4: Santa Luz
9: Campo Maior, 4: Boqueir?o do Piau?
9: Campo Maior, 4: Castelo do Piau?
9: Campo Maior, 4: Cocal de Telha
9: Campo Maior, 4: Jatob? do Piau?
9: Tucum?, 4: S?o F?lix do Xingu
9: Campo Maior, 4: Nossa Senhora de Nazar?
9: Campo Maior, 4: S?o Miguel do Tapuio
9: Campo Maior, 4: Sigefredo Pacheco
9: Canto do Buriti, 4: Brejo do Piau?
9: Canto do Buriti, 4: Eliseu Martins
9: Canto do Buriti, 4: Paje? do Piau?
9: Canto do Buriti, 4: Tamboril do Piau?
9: Corrente, 4: Avelino Lopes
9: Corrente, 4: Cristal?ndia do Piau?
9: Corrente, 4: Gilbu?s
9: Xinguara, 4: ?gua Azul do Norte
9: Corrente, 4: Parnagu?
9: Corrente, 4: Riacho Frio
9: Corrente, 4: S?o Gon?alo do Gurgu?ia
9: Corrente, 4: Sebasti?o Barros
9: Esperantina, 4: Campo Largo do Piau?
9: Esperantina, 4: Joaquim Pires
9: Esperantina, 4: Matias Ol?mpio
9: Esperantina, 4: Morro do Chap?u do Piau?
9: Esperantina, 4: S?o Jo?o do Arraial
9: Floriano, 4: Bar?o de Graja?
9: Xinguara, 4: Sapucaia
9: Floriano, 4: Ant?nio Almeida
9: Floriano, 4: Arraial
9: Floriano, 4: Bertol?nia
9: Floriano, 4: Canavieira
9: Floriano, 4: Flores do Piau?
9: Floriano, 4: Francisco Ayres
9: Floriano, 4: Guadalupe
9: Floriano, 4: Itaueira
9: Floriano, 4: Jerumenha
9: Floriano, 4: Landri Sales
9: Aragua?u, 4: Sandol?ndia
9: Floriano, 4: Manoel Em?dio
9: Floriano, 4: Marcos Parente
9: Floriano, 4: Nazar? do Piau?
9: Floriano, 4: Pavussu
9: Floriano, 4: Porto Alegre do Piau?
9: Floriano, 4: Rio Grande do Piau?
9: Floriano, 4: S?o Francisco do Piau?
9: Floriano, 4: S?o Jos? do Peixe
9: Floriano, 4: Sebasti?o Leal
9: Floriano, 4: Uru?u?
9: Araguatins, 4: Augustin?polis
9: Luzil?ndia, 4: Joca Marques
9: Luzil?ndia, 4: Madeiro
9: Tef?, 4: Juru?
9: Oeiras, 4: Cajazeiras do Piau?
9: Oeiras, 4: Col?nia do Piau?
9: Oeiras, 4: Floresta do Piau?
9: Oeiras, 4: Santa Rosa do Piau?
9: Oeiras, 4: Santo In?cio do Piau?
9: Oeiras, 4: S?o Jo?o da Varjota
9: Oeiras, 4: S?o Miguel do Fidalgo
9: Oeiras, 4: Tanque do Piau?
9: Alto Parna?ba, 4: Santa Filomena
9: Araguatins, 4: Axix? do Tocantins
9: Parna?ba, 4: Araioses
9: Parna?ba, 4: Magalh?es de Almeida
9: Parna?ba, 4: Milagres do Maranh?o
9: Parna?ba, 4: Santa Quit?ria do Maranh?o
9: Parna?ba, 4: Santana do Maranh?o
9: Parna?ba, 4: S?o Bernardo
9: Parna?ba, 4: Tut?ia
9: Parna?ba, 4: Bom Princ?pio do Piau?
9: Parna?ba, 4: Buriti dos Lopes
9: Parna?ba, 4: Cajueiro da Praia
9: Araguatins, 4: Buriti do Tocantins
9: Parna?ba, 4: Cara?bas do Piau?
9: Parna?ba, 4: Caxing?
9: Parna?ba, 4: Cocal
9: Parna?ba, 4: Cocal dos Alves
9: Parna?ba, 4: Ilha Grande
9: Parna?ba, 4: Joaquim Pires
9: Parna?ba, 4: Lu?s Correia
9: Parna?ba, 4: Murici dos Portelas
9: Pedro II, 4: Lagoa de S?o Francisco
9: Pedro II, 4: Milton Brand?o
9: Araguatins, 4: Cachoeirinha
9: Picos, 4: Alagoinha do Piau?
9: Picos, 4: Alegrete do Piau?
9: Picos, 4: Aroeiras do Itaim
9: Picos, 4: Bocaina
9: Picos, 4: Campo Grande do Piau?
9: Picos, 4: Dom Expedito Lopes
9: Picos, 4: Francisco Macedo
9: Picos, 4: Francisco Santos
9: Picos, 4: Fronteiras
9: Picos, 4: Geminiano
9: Araguatins, 4: Carrasco Bonito
9: Picos, 4: Isa?as Coelho
9: Arax?, 4: Perdizes
9: Picos, 4: Itain?polis
9: Picos, 4: Jaic?s
9: Picos, 4: Marcol?ndia
9: Picos, 4: Monsenhor Hip?lito
9: Picos, 4: Padre Marcos
9: Picos, 4: Paquet?
9: Picos, 4: Paulistana
9: Picos, 4: Pio IX
9: Picos, 4: Santa Cruz do Piau?
9: Araguatins, 4: Esperantina
9: Picos, 4: Santana do Piau?
9: Picos, 4: Santo Ant?nio de Lisboa
